nav.bearing,nav.cmdYaw,nav.snr,wpNav.state,wpNav.wpIdx,nav.gradAng,nav.gradR2,wlsCtrl.mapSize,timestamp_ms,stateEstimate.x,stateEstimate.y,nav.snr0,nav.snr1,nav.snr2,nav.snr3,nav.snr4,nav.snr5,nav.snr6,nav.snr7
0.0,4.460095405578613,1.847990870475769,0,0,0.0,0.0,4,16521,0.021043237298727036,0.01706715300679207,134,133,144,144,162,130,184,172
0.0,4.460095405578613,1.847990870475769,0,0,0.0,0.0,4,16621,0.014893217012286186,0.0067229559645056725,134,133,144,144,162,130,184,172
-78.30413818359375,-74.26141357421875,1.4210991859436035,0,0,0.0,0.0,4,16721,0.005700327921658754,-0.005329839885234833,118,87,142,103,102,124,123,108
-78.30413818359375,-74.26141357421875,1.4210991859436035,0,0,0.0,0.0,4,16821,-0.006222809199243784,-0.014110214076936245,118,87,142,103,102,124,123,108
-78.30413818359375,-74.26141357421875,1.4210991859436035,0,0,0.0,0.0,4,16921,-0.013511661440134048,-0.027220817282795906,118,87,142,103,102,124,123,108
-78.30413818359375,-74.26141357421875,1.4210991859436035,0,0,0.0,0.0,4,17021,-0.028596142306923866,-0.030470311641693115,118,87,142,103,102,124,123,108
-78.30413818359375,-74.26141357421875,1.4210991859436035,0,0,0.0,0.0,4,17121,-0.03562325984239578,-0.025828922167420387,118,87,142,103,102,124,123,108
-91.07634735107422,-117.28627014160156,1.2648178339004517,0,0,0.0,0.0,4,17221,-0.032352205365896225,-0.01763891614973545,121,52,115,104,90,125,95,126
-91.07634735107422,-117.28627014160156,1.2648178339004517,0,0,0.0,0.0,4,17321,-0.035709694027900696,-0.0038758637383580208,121,52,115,104,90,125,95,126
-91.07634735107422,-117.28627014160156,1.2648178339004517,0,0,0.0,0.0,4,17421,-0.03520185500383377,0.003300370881333947,121,52,115,104,90,125,95,126
-91.07634735107422,-117.28627014160156,1.2648178339004517,0,0,0.0,0.0,4,17521,-0.025768589228391647,0.0031496186275035143,121,52,115,104,90,125,95,126
-91.07634735107422,-117.28627014160156,1.2648178339004517,0,0,0.0,0.0,4,17621,-0.017409365624189377,0.001220844336785376,121,52,115,104,90,125,95,126
-99.54144287109375,-115.41683959960938,1.910589575767517,0,0,0.0,0.0,4,17721,-0.012495080940425396,-0.008965292945504189,120,77,126,138,114,191,108,146
-99.54144287109375,-115.41683959960938,1.910589575767517,0,0,0.0,0.0,4,17821,-0.015595361590385437,-0.015809059143066406,120,77,126,138,114,191,108,146
-99.54144287109375,-115.41683959960938,1.910589575767517,0,0,0.0,0.0,4,17921,-0.010000083595514297,-0.04232410714030266,120,77,126,138,114,191,108,146
-99.54144287109375,-115.41683959960938,1.910589575767517,0,0,0.0,0.0,4,18021,-0.009292040020227432,-0.04603244364261627,120,77,126,138,114,191,108,146
-99.54144287109375,-115.41683959960938,1.910589575767517,0,0,0.0,0.0,4,18121,-0.012888383120298386,-0.055421777069568634,120,77,126,138,114,191,108,146
-99.54144287109375,-115.41683959960938,1.910589575767517,0,0,0.0,0.0,4,18221,-0.017865866422653198,-0.051440875977277756,120,77,126,138,114,191,108,146
-99.54144287109375,-97.01651763916016,1.8087643384933472,0,0,0.0,0.0,5,18321,-0.023497343063354492,-0.031683530658483505,150,90,137,133,177,180,156,164
-99.54144287109375,-97.01651763916016,1.8087643384933472,0,0,0.0,0.0,5,18421,-0.022884178906679153,-0.010182898491621017,150,90,137,133,177,180,156,164
-99.54144287109375,-97.01651763916016,1.8087643384933472,0,0,0.0,0.0,5,18521,-0.022775469347834587,0.01241646520793438,150,90,137,133,177,180,156,164
-99.54144287109375,-97.01651763916016,1.8087643384933472,0,0,0.0,0.0,5,18621,-0.020447026938199997,0.03247200325131416,150,90,137,133,177,180,156,164
-99.54144287109375,-97.01651763916016,1.8087643384933472,0,0,0.0,0.0,5,18721,-0.017678268253803253,0.029844295233488083,150,90,137,133,177,180,156,164
-99.54144287109375,-98.36884307861328,1.3829518556594849,0,0,0.0,0.0,5,18821,-0.017286160960793495,0.014603246003389359,138,84,96,137,110,99,97,121
-99.54144287109375,-98.36884307861328,1.3829518556594849,0,0,0.0,0.0,5,18921,-0.017035426571965218,-0.007658727001398802,138,84,96,137,110,99,97,121
-99.54144287109375,-98.36884307861328,1.3829518556594849,0,0,0.0,0.0,5,19021,-0.01595471240580082,-0.040940381586551666,138,84,96,137,110,99,97,121
-99.54144287109375,-98.36884307861328,1.3829518556594849,0,0,0.0,0.0,5,19121,-0.01517131831496954,-0.06265930831432343,138,84,96,137,110,99,97,121
-99.54144287109375,-98.36884307861328,1.3829518556594849,0,0,0.0,0.0,5,19221,-0.017845846712589264,-0.07788052409887314,138,84,96,137,110,99,97,121
-60.0995979309082,34.12249755859375,1.2527492046356201,0,0,0.0,0.0,5,19321,-0.019283268600702286,-0.07887594401836395,100,104,100,101,101,101,111,125
-60.0995979309082,34.12249755859375,1.2527492046356201,0,0,0.0,0.0,5,19421,-0.02252315543591976,-0.08144780248403549,100,104,100,101,101,101,111,125
-60.0995979309082,34.12249755859375,1.2527492046356201,0,0,0.0,0.0,5,19521,-0.02459675632417202,-0.06666219979524612,100,104,100,101,101,101,111,125
-60.0995979309082,34.12249755859375,1.2527492046356201,0,0,0.0,0.0,5,19621,-0.022871756926178932,-0.03280981630086899,100,104,100,101,101,101,111,125
-60.0995979309082,34.12249755859375,1.2527492046356201,0,0,0.0,0.0,5,19721,-0.023195823654532433,-0.013644134625792503,100,104,100,101,101,101,111,125
-60.0995979309082,34.12249755859375,1.2527492046356201,0,0,0.0,0.0,5,19821,-0.017995882779359818,0.011188866570591927,100,104,100,101,101,101,111,125
-60.0995979309082,-56.7449836730957,1.9539072513580322,0,0,0.0,0.0,5,19921,-0.014699814841151237,0.019459279254078865,129,156,140,153,143,155,195,149
-60.0995979309082,-56.7449836730957,1.9539072513580322,0,0,0.0,0.0,5,20021,-0.012529485858976841,0.018146172165870667,129,156,140,153,143,155,195,149
-60.0995979309082,-56.7449836730957,1.9539072513580322,0,0,0.0,0.0,5,20121,-0.001450640382245183,0.0040245684795081615,129,156,140,153,143,155,195,149
-60.0995979309082,-56.7449836730957,1.9539072513580322,0,0,0.0,0.0,5,20221,-0.001973818987607956,-0.02401968277990818,129,156,140,153,143,155,195,149
-60.0995979309082,-56.7449836730957,1.9539072513580322,0,0,0.0,0.0,5,20321,0.005346766207367182,-0.03089011088013649,129,156,140,153,143,155,195,149
-60.0995979309082,-57.22711944580078,1.6024205684661865,0,0,0.0,0.0,5,20421,0.006240746006369591,-0.05820363014936447,117,133,125,119,103,122,112,160
-60.0995979309082,-57.22711944580078,1.6024205684661865,0,0,0.0,0.0,5,20521,0.008150571025907993,-0.0668082907795906,117,133,125,119,103,122,112,160
-60.0995979309082,-57.22711944580078,1.6024205684661865,0,0,0.0,0.0,5,20621,0.0011132332729175687,-0.0628790408372879,117,133,125,119,103,122,112,160
-60.0995979309082,-57.22711944580078,1.6024205684661865,0,0,0.0,0.0,5,20721,0.0017353997100144625,-0.046748559921979904,117,133,125,119,103,122,112,160
-60.0995979309082,-57.22711944580078,1.6024205684661865,0,0,0.0,0.0,5,20821,0.0018931403756141663,-0.024876810610294342,117,133,125,119,103,122,112,160
-60.0995979309082,-57.04543685913086,1.4178056716918945,0,0,0.0,0.0,5,20921,0.0032600245904177427,-0.011706867255270481,101,84,109,115,100,102,68,141
-60.0995979309082,-57.04543685913086,1.4178056716918945,0,0,0.0,0.0,5,21021,0.009877274744212627,-0.0017677583964541554,101,84,109,115,100,102,68,141
-60.0995979309082,-57.04543685913086,1.4178056716918945,0,0,0.0,0.0,5,21121,0.01334474515169859,0.007739679887890816,101,84,109,115,100,102,68,141
-60.0995979309082,-57.04543685913086,1.4178056716918945,0,0,0.0,0.0,5,21221,0.027585171163082123,0.003567160340026021,101,84,109,115,100,102,68,141
-60.0995979309082,-57.04543685913086,1.4178056716918945,0,0,0.0,0.0,5,21321,0.042022135108709335,0.0038801904302090406,101,84,109,115,100,102,68,141
-67.36932373046875,-80.744384765625,1.132537603378296,0,0,0.0,0.0,5,21421,0.04995157942175865,-0.014631440863013268,61,113,106,103,63,99,73,100
-67.36932373046875,-80.744384765625,1.132537603378296,0,0,0.0,0.0,5,21521,0.06012626737356186,-0.020971255376935005,61,113,106,103,63,99,73,100
-67.36932373046875,-80.744384765625,1.132537603378296,0,0,0.0,0.0,5,21621,0.06976190209388733,-0.03091471828520298,61,113,106,103,63,99,73,100
-67.36932373046875,-80.744384765625,1.132537603378296,0,0,0.0,0.0,5,21721,0.07472120225429535,-0.039349719882011414,61,113,106,103,63,99,73,100
-67.36932373046875,-80.744384765625,1.132537603378296,0,0,0.0,0.0,5,21821,0.0730585902929306,-0.034355174750089645,61,113,106,103,63,99,73,100
-67.36932373046875,-80.744384765625,1.132537603378296,0,0,0.0,0.0,5,21921,0.07861585170030594,-0.020800644531846046,61,113,106,103,63,99,73,100
-67.36932373046875,-66.15296173095703,2.0659351348876953,0,0,0.0,0.0,6,22021,0.08191235363483429,-0.00668067904189229,100,136,126,156,108,206,148,124
-67.36932373046875,-66.15296173095703,2.0659351348876953,0,0,0.0,0.0,6,22121,0.09064590930938721,0.0035813108552247286,100,136,126,156,108,206,148,124
-67.36932373046875,-66.15296173095703,2.0659351348876953,0,0,0.0,0.0,6,22221,0.09854019433259964,0.011957162991166115,100,136,126,156,108,206,148,124
-67.36932373046875,-66.15296173095703,2.0659351348876953,0,0,0.0,0.0,6,22321,0.11742859333753586,0.025765497237443924,100,136,126,156,108,206,148,124
-67.36932373046875,-66.15296173095703,2.0659351348876953,0,0,0.0,0.0,6,22421,0.1373504102230072,0.030733218416571617,100,136,126,156,108,206,148,124
-67.36932373046875,-67.72931671142578,1.5241397619247437,0,0,0.0,0.0,7,22521,0.15481816232204437,0.028310319408774376,101,152,86,125,89,145,74,122
-67.36932373046875,-67.72931671142578,1.5241397619247437,0,0,0.0,0.0,7,22621,0.1763441413640976,0.024605361744761467,101,152,86,125,89,145,74,122
-67.36932373046875,-67.72931671142578,1.5241397619247437,0,0,0.0,0.0,7,22721,0.19381649792194366,0.02373231016099453,101,152,86,125,89,145,74,122
-67.36932373046875,-67.72931671142578,1.5241397619247437,0,0,0.0,0.0,7,22821,0.2221955507993698,0.014301253482699394,101,152,86,125,89,145,74,122
-67.36932373046875,-67.72931671142578,1.5241397619247437,0,0,0.0,0.0,7,22921,0.24715082347393036,0.011154301464557648,101,152,86,125,89,145,74,122
-50.94839859008789,-12.7745361328125,1.8617658615112305,0,0,286.79669189453125,0.07827210426330566,8,23021,0.2744946777820587,0.006422964856028557,178,168,154,150,106,131,90,186
-50.94839859008789,-12.7745361328125,1.8617658615112305,0,0,286.79669189453125,0.07827210426330566,8,23121,0.30572178959846497,0.005492211785167456,178,168,154,150,106,131,90,186
-50.94839859008789,-12.7745361328125,1.8617658615112305,0,0,286.79669189453125,0.07827210426330566,8,23221,0.3331841230392456,0.00625768955796957,178,168,154,150,106,131,90,186
-50.94839859008789,-12.7745361328125,1.8617658615112305,0,0,286.79669189453125,0.07827210426330566,8,23321,0.35625356435775757,0.010941041633486748,178,168,154,150,106,131,90,186
-50.94839859008789,-12.7745361328125,1.8617658615112305,0,0,286.79669189453125,0.07827210426330566,8,23421,0.37902647256851196,0.011400367133319378,178,168,154,150,106,131,90,186
-50.94839859008789,-12.7745361328125,1.8617658615112305,0,0,286.79669189453125,0.07827210426330566,8,23521,0.395656555891037,0.008092234842479229,178,168,154,150,106,131,90,186
-50.94839859008789,-51.04174041748047,1.0245893001556396,0,0,295.55462646484375,0.3759164810180664,9,23621,0.4148654043674469,0.0009484905749559402,100,100,95,87,83,95,65,102
-50.94839859008789,-51.04174041748047,1.0245893001556396,0,0,295.55462646484375,0.3759164810180664,9,23721,0.43151426315307617,0.00422876188531518,100,100,95,87,83,95,65,102
-50.94839859008789,-51.04174041748047,1.0245893001556396,0,0,295.55462646484375,0.3759164810180664,9,23821,0.45985084772109985,0.001388070872053504,100,100,95,87,83,95,65,102
-50.94839859008789,-51.04174041748047,1.0245893001556396,0,0,295.55462646484375,0.3759164810180664,9,23921,0.48383331298828125,-0.00012733104813378304,100,100,95,87,83,95,65,102
-50.94839859008789,-51.04174041748047,1.0245893001556396,0,0,295.55462646484375,0.3759164810180664,9,24021,0.5251482129096985,-0.00205909158103168,100,100,95,87,83,95,65,102
-50.94839859008789,-50.35523986816406,1.4511116743087769,0,0,136.75245666503906,0.42233604192733765,10,24121,0.5680475234985352,-0.008710885420441628,105,129,130,107,134,128,145,134
-50.94839859008789,-50.35523986816406,1.4511116743087769,0,0,136.75245666503906,0.42233604192733765,10,24221,0.6003459095954895,-0.01012306846678257,105,129,130,107,134,128,145,134
-50.94839859008789,-50.35523986816406,1.4511116743087769,0,0,136.75245666503906,0.42233604192733765,10,24321,0.6354007720947266,-0.010450409725308418,105,129,130,107,134,128,145,134
-50.94839859008789,-50.35523986816406,1.4511116743087769,0,0,136.75245666503906,0.42233604192733765,10,24421,0.6758208870887756,-0.008725602179765701,105,129,130,107,134,128,145,134
-50.94839859008789,-50.35523986816406,1.4511116743087769,0,0,136.75245666503906,0.42233604192733765,10,24521,0.721583366394043,-0.009017313830554485,105,129,130,107,134,128,145,134
-50.94839859008789,-49.653987884521484,1.0396419763565063,0,0,257.1718444824219,0.1436263918876648,11,24621,0.7554358839988708,-0.0019661965779960155,100,94,93,96,79,101,92,103
-50.94839859008789,-49.653987884521484,1.0396419763565063,0,0,257.1718444824219,0.1436263918876648,11,24721,0.7829780578613281,0.007657506503164768,100,94,93,96,79,101,92,103
-50.94839859008789,-49.653987884521484,1.0396419763565063,0,0,257.1718444824219,0.1436263918876648,11,24821,0.8141227960586548,-0.001534725772216916,100,94,93,96,79,101,92,103
-50.94839859008789,-49.653987884521484,1.0396419763565063,0,0,257.1718444824219,0.1436263918876648,11,24921,0.844487190246582,-0.008770790882408619,100,94,93,96,79,101,92,103
-50.94839859008789,-49.653987884521484,1.0396419763565063,0,0,257.1718444824219,0.1436263918876648,11,25021,0.8745481967926025,-0.008163729682564735,100,94,93,96,79,101,92,103
-50.94839859008789,-153.35853576660156,1.4415382146835327,0,0,206.64146423339844,0.6026663184165955,12,25121,0.9066453576087952,-0.011046689935028553,87,136,144,114,98,107,120,115
-50.94839859008789,-153.35853576660156,1.4415382146835327,0,0,206.64146423339844,0.6026663184165955,12,25221,0.9277898073196411,-0.012073385529220104,87,136,144,114,98,107,120,115
-50.94839859008789,-153.35853576660156,1.4415382146835327,0,0,206.64146423339844,0.6026663184165955,12,25321,0.9604014158248901,-0.012757173739373684,87,136,144,114,98,107,120,115
-50.94839859008789,-153.35853576660156,1.4415382146835327,0,0,206.64146423339844,0.6026663184165955,12,25421,1.0072550773620605,-0.010394751094281673,87,136,144,114,98,107,120,115
-50.94839859008789,-153.35853576660156,1.4415382146835327,0,0,206.64146423339844,0.6026663184165955,12,25521,1.0348213911056519,-0.0070458208210766315,87,136,144,114,98,107,120,115
-50.94839859008789,-153.35853576660156,1.4415382146835327,0,0,206.64146423339844,0.6026663184165955,12,25621,1.082633137702942,-0.002213083440437913,87,136,144,114,98,107,120,115
-17.652265548706055,61.8512077331543,1.1854407787322998,0,0,267.0845947265625,0.13605260848999023,13,25721,1.1165783405303955,-0.0014048573793843389,85,77,81,104,99,109,91,118
-17.652265548706055,61.8512077331543,1.1854407787322998,0,0,267.0845947265625,0.13605260848999023,13,25821,1.1518211364746094,-0.0001990137534448877,85,77,81,104,99,109,91,118
-17.652265548706055,61.8512077331543,1.1854407787322998,0,0,267.0845947265625,0.13605260848999023,13,25921,1.1886613368988037,0.0013674624497070909,85,77,81,104,99,109,91,118
-17.652265548706055,61.8512077331543,1.1854407787322998,0,0,267.0845947265625,0.13605260848999023,13,26021,1.2287616729736328,0.002895522629842162,85,77,81,104,99,109,91,118
-17.652265548706055,61.8512077331543,1.1854407787322998,0,0,267.0845947265625,0.13605260848999023,13,26121,1.2709230184555054,0.002454429632052779,85,77,81,104,99,109,91,118
0.1661357283592224,43.40546417236328,1.951512336730957,0,0,263.4219970703125,0.3945489525794983,14,26221,1.3106483221054077,0.0038177473470568657,96,149,110,129,141,195,113,146
0.1661357283592224,43.40546417236328,1.951512336730957,0,0,263.4219970703125,0.3945489525794983,14,26321,1.3475027084350586,0.008534497581422329,96,149,110,129,141,195,113,146
0.1661357283592224,43.40546417236328,1.951512336730957,0,0,263.4219970703125,0.3945489525794983,14,26421,1.3782297372817993,0.003239040495827794,96,149,110,129,141,195,113,146
0.1661357283592224,43.40546417236328,1.951512336730957,0,0,263.4219970703125,0.3945489525794983,14,26521,1.4302616119384766,0.0030691330321133137,96,149,110,129,141,195,113,146
0.1661357283592224,43.40546417236328,1.951512336730957,0,0,263.4219970703125,0.3945489525794983,14,26621,1.4729845523834229,0.003042415250092745,96,149,110,129,141,195,113,146
15.518582344055176,43.40546417236328,1.3702006340026855,0,0,263.4219970703125,0.3945489525794983,15,26721,1.516965627670288,0.0023858891800045967,80,122,136,117,133,101,137,120
15.518582344055176,52.784263610839844,1.3702006340026855,0,0,85.06621551513672,0.20239359140396118,15,26821,1.5711557865142822,0.002640623366460204,80,122,136,117,133,101,137,120
15.518582344055176,52.784263610839844,1.3702006340026855,0,0,85.06621551513672,0.20239359140396118,15,26921,1.6125569343566895,0.0039013719651848078,80,122,136,117,133,101,137,120
15.518582344055176,52.784263610839844,1.3702006340026855,0,0,85.06621551513672,0.20239359140396118,15,27021,1.6595838069915771,0.003355572931468487,80,122,136,117,133,101,137,120
15.518582344055176,52.784263610839844,1.3702006340026855,0,0,85.06621551513672,0.20239359140396118,15,27122,1.704585075378418,0.001745376386679709,80,122,136,117,133,101,137,120
15.518582344055176,52.784263610839844,1.3702006340026855,0,0,85.06621551513672,0.20239359140396118,15,27222,1.7419978380203247,-0.0024606245569884777,80,122,136,117,133,101,137,120
