time,x,y,z,yaw,setpoint_x,setpoint_y,setpoint_z,setpoint_yaw,setpoint_speed,current_speed,mode,distance_to_target
2.176,-3.611714,-1.301124,1.643786,0.000000,-3.611714,-1.301124,2.000000,0.000000,0.000,0.000,IDLE,11.027
2.208,-3.611714,-1.301124,1.660538,0.000000,-3.611714,-1.301124,2.000000,0.000000,0.000,0.000,IDLE,11.026
2.240,-3.611713,-1.301124,1.677127,0.000000,-3.611713,-1.301124,2.000000,0.000000,0.000,0.000,IDLE,11.026
2.272,-3.611713,-1.301124,1.693555,0.000000,-3.611713,-1.301124,2.000000,0.000000,0.000,0.000,IDLE,11.026
2.304,-3.611713,-1.301124,1.709822,0.000000,-3.611713,-1.301124,2.000000,0.000000,0.000,0.000,IDLE,11.026
2.336,-3.611713,-1.301124,1.725931,0.000000,-3.611713,-1.301124,2.000000,0.000000,0.000,0.000,IDLE,11.026
2.368,-3.611713,-1.301124,1.741882,0.000000,-3.611713,-1.301124,2.000000,0.000000,0.000,0.000,IDLE,11.026
2.400,-3.611712,-1.301123,1.757677,0.000000,-3.611712,-1.301123,2.000000,0.000000,0.000,0.000,IDLE,11.026
2.432,-3.611712,-1.301123,1.773317,0.000000,-3.611712,-1.301123,2.000000,0.000000,0.000,0.000,IDLE,11.026
2.464,-3.611712,-1.301123,1.788804,-0.000000,-3.611712,-1.301123,2.000000,-0.000000,0.000,0.000,IDLE,11.026
2.496,-3.611712,-1.301123,1.804139,-0.000000,-3.611712,-1.301123,2.000000,-0.000000,0.000,0.000,IDLE,11.026
2.528,-3.611712,-1.301123,1.819323,-0.000000,-3.611712,-1.301123,2.000000,-0.000000,0.000,0.000,IDLE,11.026
2.560,-3.611711,-1.301123,1.834357,-0.000000,-3.611711,-1.301123,2.000000,-0.000000,0.000,0.000,IDLE,11.026
2.592,-3.611711,-1.301123,1.849242,-0.000000,-3.611711,-1.301123,2.000000,-0.000000,0.000,0.000,IDLE,11.026
2.624,-3.611711,-1.301123,1.863980,-0.000000,-3.611711,-1.301123,2.000000,-0.000000,0.000,0.000,IDLE,11.026
2.656,-3.611711,-1.301123,1.878572,-0.000000,-3.611711,-1.301123,2.000000,-0.000000,0.000,0.000,IDLE,11.026
2.688,-3.611710,-1.301123,1.893019,-0.000000,-3.611710,-1.301123,2.000000,-0.000000,0.000,0.000,IDLE,11.026
2.720,-3.611710,-1.301122,1.907321,-0.000000,-3.611710,-1.301122,2.000000,-0.000000,0.000,0.000,IDLE,11.026
2.752,-3.611710,-1.301122,1.921481,-0.000000,-3.611710,-1.301122,2.000000,-0.000000,0.000,0.000,IDLE,11.026
2.784,-3.611709,-1.301122,1.935499,-0.000000,-3.611709,-1.301122,2.000000,-0.000000,0.000,0.000,IDLE,11.026
2.816,-3.611709,-1.301122,1.949376,-0.000000,-3.611709,-1.301122,2.000000,-0.000000,0.000,0.000,IDLE,11.026
2.848,-3.611708,-1.301121,1.963114,-0.000000,-3.611708,-1.301121,2.000000,-0.000000,0.000,0.000,IDLE,11.026
2.880,-3.611708,-1.301121,1.976713,-0.000000,-3.611708,-1.301121,2.000000,-0.000000,0.000,0.000,IDLE,11.026
2.912,-3.611707,-1.301120,1.990174,-0.000000,-3.611707,-1.301120,2.000000,-0.000000,0.000,0.000,IDLE,11.026
2.944,-3.611707,-1.301120,2.003498,-0.000000,-3.611707,-1.301120,2.000000,-0.000000,0.000,0.000,IDLE,11.026
2.976,-3.611706,-1.301119,2.016687,-0.000000,-3.611706,-1.301119,2.000000,-0.000000,0.000,0.000,IDLE,11.026
3.008,-3.611706,-1.301119,2.029741,-0.000000,-3.611706,-1.301119,2.000000,-0.000000,0.000,0.000,IDLE,11.026
3.040,-3.611705,-1.301118,2.042661,-0.000000,-3.611705,-1.301118,2.000000,-0.000000,0.000,0.000,IDLE,11.026
3.072,-3.611705,-1.301118,2.055448,-0.000000,-3.611705,-1.301118,2.000000,-0.000000,0.000,0.000,IDLE,11.026
3.104,-3.611704,-1.301117,2.068103,-0.000000,-3.611704,-1.301117,2.000000,-0.000000,0.000,0.000,IDLE,11.026
3.136,-3.611703,-1.301116,2.080627,-0.000000,-3.611703,-1.301116,2.000000,-0.000000,0.000,0.000,IDLE,11.026
