time,x,y,z,yaw_deg,cmd_yaw_deg,forward_speed,bearing_angle,bearing_valid,bearing_weight,grad_angle,grad_mag,grad_valid,grad_weight,map_size,total_light,dist_to_target
2.240,-3.611713,-1.301124,1.677127,0.0000,0.0000,0.000,54.8876,1,1.00,0.0000,0.0000,0,0.00,0,614.175,11.0265
2.272,-3.611713,-1.301124,1.693555,0.0000,0.0000,0.000,54.8876,1,1.00,0.0000,0.0000,0,0.00,0,614.088,11.0265
2.304,-3.611713,-1.301124,1.709822,0.0000,0.0000,0.000,54.8877,1,1.00,0.0000,0.0000,0,0.00,0,613.997,11.0265
2.336,-3.611713,-1.301124,1.725931,0.0000,0.0000,0.000,54.8877,1,1.00,0.0000,0.0000,0,0.00,0,613.904,11.0265
2.368,-3.611713,-1.301124,1.741882,0.0000,0.0000,0.000,54.8877,1,1.00,0.0000,0.0000,0,0.00,0,613.807,11.0265
2.400,-3.611712,-1.301123,1.757677,0.0000,0.0000,0.000,54.8878,1,1.00,0.0000,0.0000,0,0.00,0,613.708,11.0265
2.432,-3.611712,-1.301123,1.773317,0.0000,0.0000,0.000,54.8878,1,1.00,0.0000,0.0000,0,0.00,0,613.606,11.0265
2.464,-3.611712,-1.301123,1.788804,-0.0000,-0.0000,0.000,54.8879,1,1.00,0.0000,0.0000,0,0.00,0,613.500,11.0265
2.496,-3.611712,-1.301123,1.804139,-0.0000,-0.0000,0.000,54.8879,1,1.00,0.0000,0.0000,0,0.00,0,613.392,11.0265
2.528,-3.611712,-1.301123,1.819323,-0.0000,-0.0000,0.000,54.8880,1,1.00,0.0000,0.0000,0,0.00,0,613.282,11.0265
2.560,-3.611711,-1.301123,1.834357,-0.0000,-0.0000,0.000,54.8880,1,1.00,0.0000,0.0000,0,0.00,0,613.169,11.0265
2.592,-3.611711,-1.301123,1.849242,-0.0000,-0.0000,0.000,54.8881,1,1.00,0.0000,0.0000,0,0.00,0,613.054,11.0265
2.624,-3.611711,-1.301123,1.863980,-0.0000,-0.0000,0.000,54.8882,1,1.00,0.0000,0.0000,0,0.00,0,612.936,11.0265
2.656,-3.611711,-1.301123,1.878572,-0.0000,-0.0000,0.000,54.8882,1,1.00,0.0000,0.0000,0,0.00,0,612.817,11.0265
2.688,-3.611710,-1.301123,1.893019,-0.0000,-0.0000,0.000,54.8883,1,1.00,0.0000,0.0000,0,0.00,0,612.695,11.0265
2.720,-3.611710,-1.301122,1.907321,-0.0000,-0.0000,0.000,54.8883,1,1.00,0.0000,0.0000,0,0.00,0,612.571,11.0265
2.752,-3.611710,-1.301122,1.921481,-0.0000,-0.0000,0.000,54.8884,1,1.00,0.0000,0.0000,0,0.00,0,612.446,11.0265
2.784,-3.611709,-1.301122,1.935499,-0.0000,-0.0000,0.000,54.8884,1,1.00,0.0000,0.0000,0,0.00,0,612.318,11.0265
